Symbol,Name,Price,Market Cap,Sector,Industry,Score,Status,Fail Codes,Rev Growth,Gross Margin,ROIC,Insider Own,PEG,Z-Score
LICN,Lichen International Limited,2.98,48653940.0,Industrials,Unknown,50,Fail,"FAIL_MCAP,FAIL_GROWTH,FAIL_GM_TREND,FAIL_ROIC,FAIL_INSIDER",-0.212,0.56598,-0.1434734599865618,0.0,-4.716981132075472,8.344942045670289
XWIN,"Nova LifeStyle, Inc.",6.1971,266929104.0,Consumer Cyclical,Unknown,60,Fail,"FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_INSIDER",2.732,0.25539,-1.0891121810069726,0.14806,0.7561127379209369,15.908879187611232
DTIL,"Precision BioSciences, Inc.",7.345,181617584.0,Healthcare,Unknown,70,Fail,"FAIL_ROIC,FAIL_PS,FAIL_INSIDER",52.611,1.0,0.0,0.05328,0.0190074319058752,-2.9262341677771304
CARL,"Carlsmed, Inc.",11.21,299665632.0,Healthcare,Unknown,70,Fail,"FAIL_ROIC,FAIL_PS,FAIL_PEG",0.612,0.7531,0.0,0.43552,1.6339869281045754,5.378222339898711
PAXS,PIMCO Access Income Fund,14.565,663712448.0,Financial Services,Unknown,30,Fail,"FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.0,0.0,0.0,0.0,7.2462683,3.0
ELPW,Elong Power Holding Limited,2.76,3911637.0,Industrials,Unknown,40,Fail,"FAIL_MCAP,FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_INSIDER",-0.415,0.0,-2.2740151667616884,0.02379,-2.4096385542168677,-7.68551963788885
LE,"Lands' End, Inc.",13.68,417938624.0,Consumer Cyclical,Unknown,80,Fail,"FAIL_GROWTH,FAIL_ROIC",-0.004,0.48839,0.0623054910613962,0.72246003,-92.4324325,2.5279536700231073
WRD,WeRide Inc.,6.23,2133406336.0,Technology,Unknown,40,Fail,"FAIL_MCAP,FAIL_GM,FAIL_GM_TREND,FAIL_ROIC,FAIL_FLOAT,FAIL_INSIDER",1.442,0.32991,-0.8548878917555341,0.05361,0.6934812760055479,0.491737616476797
SWBI,"Smith & Wesson Brands, Inc.",14.03,624247232.0,Industrials,Unknown,40,Fail,"FAIL_GROWTH,FAIL_GM,FAIL_GM_TREND,FAIL_ROIC,FAIL_PEG,FAIL_INSIDER",0.171,0.26659,0.03604073173228963,0.021,3.4186159064327484,4.77429327123199
ABNB,"Airbnb, Inc.",133.2,79855263744.0,Consumer Cyclical,Unknown,30,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_PS,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.12,0.82959,0.5494698737850432,0.01364,2.7611939166666666,4.280715514887362
FGNXP,FG Nexus Inc.,24.3,0.0,Financial Services,Unknown,40,Fail,"FAIL_MCAP,FAIL_GM,FAIL_GM_TREND,FAIL_ROIC,FAIL_PS,FAIL_INSIDER",1.282,-0.46091998,-0.3207854676291274,0.0,0.78003120124805,-0.3193342407439548
BWA,BorgWarner Inc.,52.49,11229086720.0,Consumer Cyclical,Unknown,20,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.039,0.18595,0.055426104193268086,0.0111,10.514824615384615,2.9894033681398504
MED,"Medifast, Inc.",10.09,110901944.0,Consumer Cyclical,Unknown,70,Fail,"FAIL_GROWTH,FAIL_ROIC,FAIL_INSIDER",-0.369,0.71331,-0.391173263733767,0.03203,-2.710027100271003,4.384776474104834
HYMC,Hycroft Mining Holding Corporation,36.97,3365602560.0,Basic Materials,Unknown,30,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_GM,FAIL_PS,FAIL_PEG,FAIL_FLOAT",0.0,0.0,,0.37162,100.0,36.98057182531251
DLO,DLocal Limited,11.68,3442417920.0,Technology,Unknown,60,Fail,"FAIL_MCAP,FAIL_GM,FAIL_GM_TREND,FAIL_FLOAT",0.521,0.38603002,0.3411352433983028,0.15248999,0.4003290403071017,5.081367821376318
CDXS,"Codexis, Inc.",1.475,134032296.0,Healthcare,Unknown,50,Fail,"FAIL_GM,FAIL_GM_TREND,FAIL_ROIC,FAIL_FLOAT,FAIL_INSIDER",0.813,0.1242,-0.536793297558179,0.07571,1.2300123001230012,-4.737488465676395
NOMA,Nomadar Corp.,4.44,67369904.0,Consumer Cyclical,Unknown,60,Fail,"FAIL_GROWTH,FAIL_ROIC,FAIL_PS,FAIL_PEG",0.0,0.60482,0.0,0.74824,100.0,-422.30860588585097
NSA,National Storage Affiliates Trust,39.1,5756857856.0,Real Estate,Unknown,20,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_ROIC,FAIL_PS,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.022,0.72603995,0.06309668712282279,0.080290005,25.75757454545455,1.0199336398077499
BWG,Legg Mason BW Global Income Opportunities Fund Inc.,7.85,131815912.0,Financial Services,Unknown,30,Fail,"FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.0,0.0,0.0,0.00023,8.532608,3.0
CARS,Cars.com Inc.,8.045,481197760.0,Communication Services,Unknown,40,Fail,"FAIL_GROWTH,FAIL_GM_TREND,FAIL_ROIC,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.019,0.66725,0.04356991235792132,0.12028,13.231907894736842,0.2413933516679621
COSM,Cosmos Health Inc.,0.3376,12608017.0,Healthcare,Unknown,60,Fail,"FAIL_MCAP,FAIL_GM,FAIL_ROIC,FAIL_PEG",0.379,0.11406,-0.42095778574825726,0.38581002,2.638522427440633,-2.611335617387949
AUST,Austin Gold Corp.,1.41,19307130.0,Basic Materials,Unknown,40,Fail,"FAIL_MCAP,FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_PEG",0.0,0.0,-0.23066838102023843,0.47255,100.0,87.64567949019978
WTM,"White Mountains Insurance Group, Ltd.",2198.128,5450647040.0,Financial Services,Unknown,70,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_INSIDER",3.48,0.6261,0.20941378199981256,0.03365,0.014685683908045977,3.0
DJCO,Daily Journal Corporation,490.09,675207744.0,Technology,Unknown,50,Fail,"FAIL_PRICE,FAIL_GROWTH,FAIL_GM,FAIL_GM_TREND,FAIL_INSIDER",0.104,0.31188,0.28763345989933187,0.044,0.6959686826923077,5.740350841007547
AFCG,Advanced Flower Capital Inc.,2.6,61174992.0,Real Estate,Unknown,80,Fail,"FAIL_ROIC,FAIL_PS",1.201,1.0,-0.06022425144617158,0.34590998,0.832639467110741,3.0
